,0,1,2,3,4,5,6,7
21,$22per hour,"New Brunswick, NJ, US",Intern,Jun '22,< 1 Years of Experience,18-20 Years old,40.4862174,-74.4518173
22,"CAD$55,000per year","Fogo, NL, CA",Draftsperson,Jun '22,3 Years of Experience,21-25 Years old,49.715601,-54.283447
23,"$55,000per year","New York, NY, US",Junior Architect,Jun '22,< 1 Years of Experience,31-35 Years old,40.7127281,-74.0060152
24,"€50,000per year",France,Senior Architect,Jun '22,11-15 Years of Experience,41-45 Years old,46.603354,1.8883335
25,"$51,418per year","Chicago, IL, US",Associate,Jun '22,8-10 Years of Experience,31-35 Years old,41.8755616,-87.6244212
26,"$90,000per year","Dallas, TX, US",Project Manager,Jun '22,26-30 Years of Experience,56-60 Years old,32.7762719,-96.7968559
27,€15per hour,"Den Haag, NL",Junior Designer,Jun '22,< 1 Years of Experience,21-25 Years old,52.0799838,4.3113461
28,"AUD$134,000per year","Ho Chi Minh City, VN",Associate,Jun '22,8-10 Years of Experience,41-45 Years old,10.7758439,106.7017555
29,"$62,400per year","Los Angeles, CA, US",Designer,Jun '22,3-5 Years of Experience,31-35 Years old,34.0536909,-118.242766
30,"$135,000per year","Chicago, IL, US",Partner,Jun '22,11-15 Years of Experience,36-40 Years old,41.8755616,-87.6244212
31,"$46,000per year","Cleveland, OH, US",Designer,Jun '22,3 Years of Experience,21-25 Years old,41.4996562,-81.6936813
32,"$165,000per year","Washington, DC, US",Project Manager,Jun '22,26-30 Years of Experience,56-60 Years old,38.8950368,-77.0365427
33,"$58,000per year","Columbus, OH, US",Associate,Jun '22,< 1 Years of Experience,26-30 Years old,39.9622601,-83.0007065
34,"AUD$90,000per year","Adelaide, AU",Senior Architect,Jun '22,11-15 Years of Experience,36-40 Years old,-34.9281805,138.5999312
35,"CAD$57,000per year","Toronto, ON, CA",Intern,Jun '22,1 Years of Experience,26-30 Years old,43.6534817,-79.3839347
36,"$60,000per year","Oakland, CA, US",Designer,Jun '22,3-5 Years of Experience,26-30 Years old,37.8044557,-122.2713563
37,"$66,000per year","Oakland, CA, US",Designer,Jun '22,3-5 Years of Experience,26-30 Years old,37.8044557,-122.2713563
38,"$90,000per year","Oakland, CA, US",Project Manager,Jun '22,11-15 Years of Experience,36-40 Years old,37.8044557,-122.2713563
39,"$80,000per year","Oakland, CA, US",Project Manager,Jun '22,8-10 Years of Experience,36-40 Years old,37.8044557,-122.2713563
40,"$75,000per year","Oakland, CA, US",Job Captain,Jun '22,8-10 Years of Experience,36-40 Years old,37.8044557,-122.2713563
41,"$135,000per year","Miami, FL, US",Partner,Jun '22,26-30 Years of Experience,51-55 Years old,25.7741728,-80.19362
42,"$118,500per year","Madison, WI, US",Senior Architect,Jun '22,21-25 Years of Experience,41-45 Years old,43.074761,-89.3837613
43,"£27,300per year",United Kingdom,Junior Architect,Jun '22,8-10 Years of Experience,26-30 Years old,54.7023545,-3.2765753
44,"$85,000per year","Riverside, CA, US",Job Captain,Jun '22,11-15 Years of Experience,31-35 Years old,33.9533546,-117.3961623
45,"$87,000per year","New York, NY, US",Project Architect,Jun '22,8-10 Years of Experience,46-50 Years old,40.7127281,-74.0060152
46,"€43,800per year","Helsinki, FI",Project Architect,Jun '22,8-10 Years of Experience,31-35 Years old,60.1674881,24.9427473
47,"$3,850per year","Mumbai, IN",Junior Architect,Jun '22,1 Years of Experience,21-25 Years old,19.0785451,72.878176
48,"$150,000per year","Santa Cruz, CA, US",Principal,Jun '22,26-30 Years of Experience,51-55 Years old,37.050096,-121.9905908
49,"$60,000per year","Dallas, TX, US",Job Captain,Jun '22,3-5 Years of Experience,26-30 Years old,32.7762719,-96.7968559
50,$18per hour,"Richmond, VA, US",Intern,Jun '22,< 1 Years of Experience,26-30 Years old,37.5385087,-77.43428
51,"$60,000per year","Denver, CO, US",Job Captain,Jun '22,3-5 Years of Experience,26-30 Years old,39.7392364,-104.9848623
52,"$140,000per year","San Francisco, CA, US",Senior Architect,Jun '22,31-40 Years of Experience,56-60 Years old,37.7790262,-122.419906
53,"€24,000per year","Berlin, DE",Junior Architect,Jun '22,< 1 Years of Experience,26-30 Years old,52.5170365,13.3888599
54,"81,600 (local currency)per year","Zürich, CH",Intermediate Architect,Jun '22,6-7 Years of Experience,31-35 Years old,47.3744489,8.5410422
55,"CAD$95,000per year",Canada,Senior Architect,Jun '22,11-15 Years of Experience,36-40 Years old,61.0666922,-107.991707
56,"$77,000per year","New York, NY, US",BIM Specialist,Jun '22,3-5 Years of Experience,26-30 Years old,40.7127281,-74.0060152
57,"$82,000per year","Los Angeles, CA, US",Junior Designer,Jun '22,2 Years of Experience,26-30 Years old,34.0536909,-118.242766
58,"$110,000per year","Kansas City, MO, US",Principal,Jun '22,21-25 Years of Experience,41-45 Years old,39.100105,-94.5781416
59,"£62,000per year","London, GB",Designer,Jun '22,8-10 Years of Experience,31-35 Years old,51.5073219,-0.1276474
60,"$88,000per year","New York, NY, US",Project Architect,Jun '22,6-7 Years of Experience,31-35 Years old,40.7127281,-74.0060152
61,"$88,000per year","Phoenix, AZ, US",Project Manager,Jun '22,8-10 Years of Experience,31-35 Years old,33.4484367,-112.074141
62,"$130,800per year","Austin, TX, US",Project Manager,Jun '22,8-10 Years of Experience,26-30 Years old,30.2711286,-97.7436995
63,"$97,020per year","Phoenix, AZ, US",Project Architect,Jun '22,11-15 Years of Experience,31-35 Years old,33.4484367,-112.074141
64,"CAD$82,000per year","Vancouver, BC, CA",Project Architect,Jun '22,11-15 Years of Experience,36-40 Years old,49.2608724,-123.113952
65,"$97,000per year","Oakland, CA, US",Job Captain,Jun '22,6-7 Years of Experience,26-30 Years old,37.8044557,-122.2713563
66,"$100,000per year","Phoenix, AZ, US",Project Architect,Jun '22,11-15 Years of Experience,36-40 Years old,33.4484367,-112.074141
67,"$70,500per year","San Francisco, CA, US",Designer,Jun '22,3-5 Years of Experience,26-30 Years old,37.7790262,-122.419906
68,"$38,250per year","Billings, MT, US",Junior Designer,Jun '22,1 Years of Experience,21-25 Years old,45.7874957,-108.49607
69,"$81,500per year","Denver, CO, US",Project Architect,Jun '22,11-15 Years of Experience,36-40 Years old,39.7392364,-104.9848623
70,"$90,000per year","New York, NY, US",Senior Designer,Jun '22,8-10 Years of Experience,31-35 Years old,40.7127281,-74.0060152
71,"$104,000per year","Seattle, WA, US",Project Architect,Jun '22,6-7 Years of Experience,31-35 Years old,47.6038321,-122.3300624
72,"$63,000per year","Philadelphia, PA, US",Digital Fabricator,Jun '22,3-5 Years of Experience,26-30 Years old,39.9527237,-75.1635262
73,"€14,000per year","Portugal, PT",Intermediate Architect,Jun '22,3-5 Years of Experience,26-30 Years old,40.0332629,-7.8896263
74,"$82,500per year","Huntsville, AL, US",Project Manager,Jun '22,8-10 Years of Experience,31-35 Years old,34.729847,-86.5859011
75,"€53,000per year","Stuttgart, DE",Project Architect,Jun '22,6-7 Years of Experience,31-35 Years old,48.7784485,9.1800132
76,$70per year,"Minneapolis, MN, US",Designer,Jun '22,11-15 Years of Experience,31-35 Years old,44.9772995,-93.2654692
77,"£34,750per year","Manchester, GB",Intermediate Architect,Jun '22,6-7 Years of Experience,26-30 Years old,53.4794892,-2.2451148
78,"CAD$72,500per year","Vancouver, BC, CA",Intern,Jun '22,3-5 Years of Experience,26-30 Years old,49.2608724,-123.113952
79,"$112,000per year","Chincoteague, VA, US",Senior Architect,Jun '22,21-25 Years of Experience,56-60 Years old,37.9331799,-75.3788141
80,"$100,000per year","Seattle, WA, US",Project Architect,Jun '22,8-10 Years of Experience,36-40 Years old,47.6038321,-122.3300624
81,"$107,000per year","Miami, FL, US",Project Manager,Jun '22,8-10 Years of Experience,31-35 Years old,25.7741728,-80.19362
82,"$87,500per year","Oak Brook, IL, US",Project Architect,Jun '22,16-20 Years of Experience,36-40 Years old,41.8328085,-87.9289504
83,"$75,000per year","Chicago, IL, US",Designer,Jun '22,6-7 Years of Experience,26-30 Years old,41.8755616,-87.6244212
84,"$65,000per year","New York, NY, US",Designer,Jun '22,2 Years of Experience,26-30 Years old,40.7127281,-74.0060152
85,"$77,400per year","Madison, WI, US",Designer,Jun '22,11-15 Years of Experience,36-40 Years old,43.074761,-89.3837613
86,"RM36,000per year","Kuala Lumpur, MY",Draftsperson,Jun '22,2 Years of Experience,26-30 Years old,3.1516964,101.6942371
87,"$80,000per year","Los Angeles, CA, US",Designer,Jun '22,1 Years of Experience,21-25 Years old,34.0536909,-118.242766
88,$15per hour,"New York, NY, US",Intern,Jun '22,1 Years of Experience,21-25 Years old,40.7127281,-74.0060152
89,"$67,000per year","Palo Alto, CA, US",Intermediate Designer,Jun '22,3-5 Years of Experience,26-30 Years old,37.4443293,-122.1598465
90,"£36,500per year","London, GB",Senior Architect,Jun '22,3-5 Years of Experience,26-30 Years old,51.5073219,-0.1276474
91,"£45,000per year","London, GB",Intermediate Architect,Jun '22,6-7 Years of Experience,31-35 Years old,51.5073219,-0.1276474
92,"$67,000per year","Los Angeles, CA, US",Junior Designer,Jun '22,2 Years of Experience,36-40 Years old,34.0536909,-118.242766
93,"$82,000per year","San Francisco, CA, US",Intermediate Designer,Jun '22,3-5 Years of Experience,26-30 Years old,37.7790262,-122.419906
94,"£31,500per year","London, GB",Junior Architect,Jun '22,3-5 Years of Experience,26-30 Years old,51.5073219,-0.1276474
95,"$70,000per year","New York, NY, US",Intermediate Designer,Jun '22,3-5 Years of Experience,31-35 Years old,40.7127281,-74.0060152
96,"$65,000per year","San Francisco, CA, US",Designer,Jun '22,3-5 Years of Experience,21-25 Years old,37.7790262,-122.419906
97,"CHF65,650per year","Lausanne, CH",Junior Architect,Jun '22,2 Years of Experience,31-35 Years old,46.5218269,6.6327025
98,"$56,000per year","Los Angeles, CA, US",Junior Designer,Jun '22,1 Years of Experience,26-30 Years old,34.0536909,-118.242766
99,$25per hour,"New York, NY, US",Intern,Jun '22,< 1 Years of Experience,21-25 Years old,40.7127281,-74.0060152
100,"$85,000per year","New York, NY, US",Project Manager,Jun '22,3-5 Years of Experience,31-35 Years old,40.7127281,-74.0060152
101,"$110,000per year","New York, NY, US",Associate,Jun '22,6-7 Years of Experience,31-35 Years old,40.7127281,-74.0060152
102,"AUD$87,000per year","Sydney, AU",Intermediate Architect,Jun '22,6-7 Years of Experience,31-35 Years old,-33.8698439,151.2082848
103,"$78,000per year","San Francisco, CA, US",Associate,Jun '22,3-5 Years of Experience,26-30 Years old,37.7790262,-122.419906
104,"$63,000per year","Boston, MA, US",Designer,Jun '22,3-5 Years of Experience,26-30 Years old,42.3554334,-71.060511
105,"$69,900per year","Los Angeles, CA, US",Junior Designer,Jun '22,3 Years of Experience,31-35 Years old,34.0536909,-118.242766
106,"$58,000per year","Washington, DC, US",Junior Architect,Jun '22,2 Years of Experience,21-25 Years old,38.8950368,-77.0365427
107,$20per hour,"Tel Aviv, IL",Project Architect,Jun '22,6-7 Years of Experience,26-30 Years old,32.0852997,34.7818064
108,"$175,000per year","San Francisco, CA, US",Project Manager,Jun '22,16-20 Years of Experience,36-40 Years old,37.7790262,-122.419906
109,€0per year,"Treviso, IT",Associate,Jun '22,1 Years of Experience,26-30 Years old,45.806691349999994,12.206315763116372
110,"$60,000per year","New York, NY, US",Junior Architect,Jun '22,2 Years of Experience,26-30 Years old,40.7127281,-74.0060152
111,"$50,000per year","Chicago, IL, US",Designer,Jun '22,3 Years of Experience,26-30 Years old,41.8755616,-87.6244212
112,"$57,000per year","Kansas City, MO, US",Intern,Jun '22,1 Years of Experience,21-25 Years old,39.100105,-94.5781416
113,"AUD$63,000per year","Parramatta, AU",Junior Architect,Jun '22,2 Years of Experience,18-20 Years old,-33.806969699999996,151.02136251722922
114,"$77,000per year","Chicago, IL, US",Associate,Jun '22,6-7 Years of Experience,26-30 Years old,41.8755616,-87.6244212
115,"$54,000per year","Los Angeles, CA, US",Designer,Jun '22,1 Years of Experience,21-25 Years old,34.0536909,-118.242766
116,"$57,000per year","Brooklyn, NY, US",Designer,Jun '22,3 Years of Experience,26-30 Years old,40.6526006,-73.9497211
117,"€10,956per year","Warsaw, PL",Designer,Jun '22,3 Years of Experience,26-30 Years old,52.2337172,21.071432235636493
118,"$65,000per year","New York, US",Junior Architect,Jun '22,1 Years of Experience,26-30 Years old,40.7127281,-74.0060152
119,"£37,000per year","London, GB",Project Architect,Jun '22,6-7 Years of Experience,31-35 Years old,51.5073219,-0.1276474
120,"€10,000per year","Warszawa, PL",Interior Designer,Jun '22,2 Years of Experience,26-30 Years old,52.2337172,21.071432235636493
121,"£28,500per year","London, GB",Designer,Jun '22,3-5 Years of Experience,26-30 Years old,51.5073219,-0.1276474
122,"$72,000per year","New York, NY, US",Junior Architect,Jun '22,2 Years of Experience,21-25 Years old,40.7127281,-74.0060152
123,"$65,000per year","New York, NY, US",Junior Architect,Jun '22,2 Years of Experience,36-40 Years old,40.7127281,-74.0060152
124,"$160,000per year","San Francisco, CA, US",Project Manager,Jun '22,11-15 Years of Experience,31-35 Years old,37.7790262,-122.419906
125,"AUD$75,000per year","Canberra, AU",Junior Architect,Jun '22,3 Years of Experience,26-30 Years old,-35.2975906,149.1012676
126,"$105,900per year","New York, NY, US",Project Architect,Jun '22,8-10 Years of Experience,36-40 Years old,40.7127281,-74.0060152
127,"£45,000per year","London, GB",Visualization Artist,Jun '22,8-10 Years of Experience,31-35 Years old,51.5073219,-0.1276474
128,"$71,000per year","New York, NY, US",Junior Designer,Jun '22,1 Years of Experience,21-25 Years old,40.7127281,-74.0060152
129,"$68,000per year","New York, NY, US",Intermediate Designer,Jun '22,2 Years of Experience,26-30 Years old,40.7127281,-74.0060152
130,"$70,000per year","New York, NY, US",Designer,Jun '22,1 Years of Experience,21-25 Years old,40.7127281,-74.0060152
131,"$60,000per year","New York, NY, US",Designer,Jun '22,< 1 Years of Experience,21-25 Years old,40.7127281,-74.0060152
132,"$82,500per year","San Antonio, TX, US",Job Captain,Jun '22,6-7 Years of Experience,26-30 Years old,29.4246002,-98.4951405
133,"$120,000per year","Saint Louis, MO, US",Senior Designer,Jun '22,11-15 Years of Experience,31-35 Years old,38.6264256,-90.1995853
134,"$85,000per year","Seattle, WA, US",Project Architect,Jun '22,8-10 Years of Experience,31-35 Years old,47.6038321,-122.3300624
135,"$79,000per year","Seattle, WA, US",Project Architect,Jun '22,6-7 Years of Experience,26-30 Years old,47.6038321,-122.3300624
136,"$65,000per year","Seattle, WA, US",Associate,Jun '22,3-5 Years of Experience,26-30 Years old,47.6038321,-122.3300624
137,"$60,000per year","New York, NY, US",Designer,Jun '22,3 Years of Experience,26-30 Years old,40.7127281,-74.0060152
138,"$66,000per year","Boulder, CO, US",Designer,Jun '22,6-7 Years of Experience,26-30 Years old,40.0149856,-105.270545
139,"CAD$74,000per year","Toronto, ON, CA",Junior Architect,Jun '22,3-5 Years of Experience,26-30 Years old,43.6534817,-79.3839347
140,"£39,000per year","London, GB",Senior Designer,Jun '22,3-5 Years of Experience,31-35 Years old,51.5073219,-0.1276474
141,"$82,000per year","San Antonio, TX, US",Project Architect,Jun '22,8-10 Years of Experience,31-35 Years old,29.4246002,-98.4951405
142,"£45,000per year","London, GB",Senior Architect,Jun '22,8-10 Years of Experience,31-35 Years old,51.5073219,-0.1276474
143,"$69,000per year","Philadelphia, PA, US",Junior Architect,Jun '22,3-5 Years of Experience,26-30 Years old,39.9527237,-75.1635262
144,"$75,000per year","Los Angeles, CA, US",Project Manager,Jun '22,8-10 Years of Experience,31-35 Years old,34.0536909,-118.242766
145,"$60,000per year","New York, NY, US",Junior Architect,Jun '22,1 Years of Experience,26-30 Years old,40.7127281,-74.0060152
146,"$60,000per year","New York, NY, US",Junior Architect,Jun '22,1 Years of Experience,26-30 Years old,40.7127281,-74.0060152
147,"$67,500per year","New York, NY, US",Designer,Jun '22,3 Years of Experience,26-30 Years old,40.7127281,-74.0060152
148,"£19,500per year","London, GB",Intermediate Architect,Jun '22,2 Years of Experience,21-25 Years old,51.5073219,-0.1276474
149,$12per hour,"Barcelona, ES",Project Architect,Jun '22,2 Years of Experience,21-25 Years old,41.3828939,2.1774322
150,$18per hour,"Colorado, US",Junior Architect,Jun '22,1 Years of Experience,21-25 Years old,38.7251776,-105.607716
151,"$75,000per year","San Francisco, CA, US",Job Captain,Jun '22,3-5 Years of Experience,26-30 Years old,37.7790262,-122.419906
152,"$70,000per year","New York, NY, US",Designer,Jun '22,3-5 Years of Experience,26-30 Years old,40.7127281,-74.0060152
153,$33per hour,"San Jose, CA, US",Job Captain,Jun '22,6-7 Years of Experience,26-30 Years old,37.3361905,-121.890583
154,"$54,000per year","Springfield, MO, US",Junior Architect,Jun '22,1 Years of Experience,21-25 Years old,37.2166779,-93.2920373
155,"$70,000per year","San Francisco, CA, US",Designer,Jun '22,3-5 Years of Experience,26-30 Years old,37.7790262,-122.419906
156,"$63,000per year","San Francisco, CA, US",Designer,Jun '22,3 Years of Experience,26-30 Years old,37.7790262,-122.419906
157,$22per hour,"Riverside, CA, US",Student Intern,Jun '22,1 Years of Experience,21-25 Years old,33.9533546,-117.3961623
158,"€45,000per year","Antwerpen, BE",Junior Architect,Jun '22,3-5 Years of Experience,31-35 Years old,51.2211097,4.3997081
159,"$65,000per year","New York, NY, US",Junior Architect,Jun '22,2 Years of Experience,26-30 Years old,40.7127281,-74.0060152
160,"$72,000per year","Chicago, IL, US",Designer,Jun '22,3-5 Years of Experience,26-30 Years old,41.8755616,-87.6244212
161,"CAD$61,200per year","Toronto, ON, CA",Junior Designer,Jun '22,2 Years of Experience,31-35 Years old,43.6534817,-79.3839347
162,"$65,000per year","Boston, MA, US",Designer,Jun '22,2 Years of Experience,21-25 Years old,42.3554334,-71.060511
163,$22per hour,"Cambridge, MA, US",Intern,Jun '22,< 1 Years of Experience,21-25 Years old,42.3750997,-71.1056157
164,$22per hour,"Sacramento, CA, US",Student Intern,Jun '22,< 1 Years of Experience,26-30 Years old,38.5810606,-121.493895
165,"$52,000per year","Philadelphia, PA, US",Junior Designer,Jun '22,1 Years of Experience,26-30 Years old,39.9527237,-75.1635262
166,CAD$34per hour,"Montreal, QC, CA",Intermediate Architect,Jun '22,8-10 Years of Experience,31-35 Years old,45.5031824,-73.5698065
167,CAD$32per hour,"Montreal, QC, CA",Project Architect,Jun '22,3-5 Years of Experience,26-30 Years old,45.5031824,-73.5698065
168,CAD$29per hour,"Montreal, QC, CA",Intern,Jun '22,3-5 Years of Experience,26-30 Years old,45.5031824,-73.5698065
169,$29per hour,"Rancho Cucamonga, CA, US",Designer,Jun '22,3 Years of Experience,21-25 Years old,34.1279268,-117.56432205849399
170,$20per hour,"Chicago, IL, US",Intern,Jun '22,< 1 Years of Experience,21-25 Years old,41.8755616,-87.6244212
171,"€42,000per year","Berlin, DE",Revit Specialist,Jun '22,3-5 Years of Experience,31-35 Years old,52.5170365,13.3888599
172,CAD$30per hour,"Montreal, QC, CA",Junior Architect,Jun '22,3-5 Years of Experience,26-30 Years old,45.5031824,-73.5698065
173,"AUD$60,000per year","Melbourne, AU",Junior Designer,Jun '22,3-5 Years of Experience,26-30 Years old,-37.8142176,144.9631608
174,"$75,000per year","Boston, MA, US",Associate,Jun '22,3-5 Years of Experience,31-35 Years old,42.3554334,-71.060511
175,"£29,500per year","London, GB",Junior Architect,Jun '22,2 Years of Experience,21-25 Years old,51.5073219,-0.1276474
176,"$65,000per year","Pasadena, CA, US",Intermediate Architect,Jun '22,3 Years of Experience,21-25 Years old,34.1476452,-118.1444779
177,$25per hour,"New York, NY, US",Student Intern,Jun '22,2 Years of Experience,26-30 Years old,40.7127281,-74.0060152
178,CAD$29per hour,"Montreal, QC, CA",Intern,Jun '22,3-5 Years of Experience,26-30 Years old,45.5031824,-73.5698065
179,AUD$75per year,"Brisbane, AU",Designer,Jun '22,3 Years of Experience,26-30 Years old,-27.4689682,153.0234991
180,"$120,000per year","New York, NY, US",Project Manager,Jun '22,8-10 Years of Experience,31-35 Years old,40.7127281,-74.0060152
181,"AUD$58,000per year","Brisbane, AU",Student Intern,Jun '22,2 Years of Experience,21-25 Years old,-27.4689682,153.0234991
182,"€2,950per year","Paris, FR",Junior Architect,Jun '22,2 Years of Experience,26-30 Years old,48.8588897,2.3200410217200766
183,"$65,000per year","Irvine, CA, US",Job Captain,Jun '22,1 Years of Experience,26-30 Years old,33.6856969,-117.8259819
184,"£32,000per year","London, GB",Junior Architect,Jun '22,2 Years of Experience,26-30 Years old,51.5073219,-0.1276474
185,"$60,320per year","Pasadena, CA, US",Designer,Jun '22,< 1 Years of Experience,26-30 Years old,34.1476452,-118.1444779
186,$19per hour,"Phoenix, AZ, US",Student Intern,Jun '22,< 1 Years of Experience,21-25 Years old,33.4484367,-112.074141
187,"$97,000per year","New York, NY, US",Project Manager,Jun '22,8-10 Years of Experience,31-35 Years old,40.7127281,-74.0060152
188,"$100,000per year","Springfield, MO, US",Senior Architect,Jun '22,11-15 Years of Experience,31-35 Years old,37.2166779,-93.2920373
189,"CAD$63,000per year","Toronto, ON, CA",Junior Designer,Jun '22,< 1 Years of Experience,26-30 Years old,43.6534817,-79.3839347
190,"kr62,400per year","Bucharest, RO",Project Architect,Jun '22,3-5 Years of Experience,31-35 Years old,44.4361414,26.1027202
191,"kr5,200per year","Bucharest, RO",Project Architect,Jun '22,3-5 Years of Experience,31-35 Years old,44.4361414,26.1027202
192,"$53,000per year","Pittsburgh, PA, US",Junior Designer,Jun '22,3 Years of Experience,21-25 Years old,40.4416941,-79.9900861
193,"$53,000per year","Boston, MA, US",Junior Designer,Jun '22,2 Years of Experience,21-25 Years old,42.3554334,-71.060511
194,"$40,000per year","Los Angeles, CA, US",Designer,Jun '22,1 Years of Experience,21-25 Years old,34.0536909,-118.242766
195,"$60,000per year","Hamilton, NZ",Designer,Jun '22,6-7 Years of Experience,36-40 Years old,-37.7878809,175.281788
196,"$73,250per year","New York, NY, US",Junior Designer,Jun '22,3 Years of Experience,26-30 Years old,40.7127281,-74.0060152
197,"$55,000per year","San Diego, CA, US",Designer,Jun '22,< 1 Years of Experience,21-25 Years old,32.7174202,-117.1627728
198,"$75,000per year","New York, NY, US",Junior Designer,Jun '22,3-5 Years of Experience,26-30 Years old,40.7127281,-74.0060152
199,"$62,000per year","Boston, MA, US",Designer,Jun '22,< 1 Years of Experience,26-30 Years old,42.3554334,-71.060511
200,"$6,200per year","Boston, MA, US",Designer,Jun '22,< 1 Years of Experience,26-30 Years old,42.3554334,-71.060511
201,"$63,000per year","Denver, CO, US",Project Architect,Jun '22,2 Years of Experience,21-25 Years old,39.7392364,-104.9848623
202,"$75,000per year","New York, NY, US",Designer,Jun '22,3-5 Years of Experience,26-30 Years old,40.7127281,-74.0060152
203,"$42,000per year","Portland, OR, US",Intern,Jun '22,< 1 Years of Experience,31-35 Years old,45.5202471,-122.6741949
204,"$58,000per year","Los Angeles, CA, US",Junior Architect,Jun '22,3-5 Years of Experience,21-25 Years old,34.0536909,-118.242766
205,"$98,500per year","Boston, MA, US",Associate,Jun '22,3-5 Years of Experience,26-30 Years old,42.3554334,-71.060511
206,"$58,032per year","Boston, MA, US",Designer,Jun '22,2 Years of Experience,21-25 Years old,42.3554334,-71.060511
207,$20per hour,"New York, NY, US",Intern,Jun '22,< 1 Years of Experience,18-20 Years old,40.7127281,-74.0060152
208,"$36,000per year","Brooklyn, NY, US",Intern,Jun '22,< 1 Years of Experience,21-25 Years old,40.6526006,-73.9497211
209,"$65,000per year","Boston, MA, US",Designer,Jun '22,2 Years of Experience,26-30 Years old,42.3554334,-71.060511
210,R$9per hour,"São Paulo, BR",Intern,Jun '22,< 1 Years of Experience,21-25 Years old,-23.5506507,-46.6333824
211,"$78,000per year","Seattle, WA, US",Job Captain,Jun '22,6-7 Years of Experience,31-35 Years old,47.6038321,-122.3300624
212,R$11per hour,"São Paulo, BR",Intern,Jun '22,< 1 Years of Experience,21-25 Years old,-23.5506507,-46.6333824
213,"18,000 (local currency)per year","São Paulo, BR",Intern,Jun '22,1 Years of Experience,21-25 Years old,-23.5506507,-46.6333824
214,"$12,636per year","Prague, CZ",Junior Architect,Jun '22,3 Years of Experience,26-30 Years old,50.0596288,14.446459273258009
215,CAD$25per hour,"Ottawa, ON, CA",Intern,Jun '22,2 Years of Experience,26-30 Years old,45.4208777,-75.6901106
216,"$83,000per year","New York, NY, US",Senior Designer,Jun '22,3-5 Years of Experience,26-30 Years old,40.7127281,-74.0060152
217,"€2,400per year","Donostia-San Sebastián, ES",Student Intern,Jun '22,< 1 Years of Experience,21-25 Years old,43.3224219,-1.9838889
218,"HK$504,000per year","Hong Kong, HK",Junior Architect,Jun '22,6-7 Years of Experience,31-35 Years old,22.2793278,114.1628131
219,$20per hour,"Milwaukee, WI, US",Student Intern,Jun '22,3-5 Years of Experience,21-25 Years old,43.0349931,-87.922497
220,$20per hour,"Milwaukee, WI, US",Associate,Jun '22,1 Years of Experience,21-25 Years old,43.0349931,-87.922497
221,"$78,000per year","New York, NY, US",Intermediate Architect,Jun '22,3 Years of Experience,26-30 Years old,40.7127281,-74.0060152
